file,lines,definitions,symbol_locations,sha256
deploy/build_velora_executive_platform_solution.py,57,3,build_solution_zip:13; build_productivity_app_package:23; build_hcm_app_package:41,d02ef2e26aa3ed49348c2006f989618cacebd010b0b9eb5e5f735e79b193c17b
deploy/enrich_plugins_with_states.py,198,1,enrich_plugin:171,2dd2c00474f329a87b5f377b6d1ee64ad879c01eaed559388890bdd5af6155a6
deploy/generate_connectors_swagger.py,348,0,,1d067d8f35d62bbda5cc295a73f5b89097aeba96d0f4d09764652801004eca9d
deploy/repair_dataverse_schema.py,393,16,azure_access_token:29; request:49; label:77; required_level:90; string_attribute:98; memo_attribute:111; boolean_attribute:124; integer_attribute:141; datetime_attribute:155; get_table:192; ensure_policy_table:203; ensure_governance_solution:232; add_table_to_solution:257; export_governance_solution:306; seed_policy:320; main:369,031aeb3ed4c063f56069c57d4f42fafbf30114325e149ee979e31e9e3b87c479
deploy/test_all_live_systems_and_audit.py,177,4,generate_audit_record:80; validate_audit_payload:107; test_service_record:117; main:138,0110edcd89bbc03b249e603d8214e841d94b90ef5db90b3fc78af26bf54ec30c
mcp-apps/ask-facilitator/facilitator_mcp/__init__.py,1,0,,54cc6788e1c41ac49c051dcab919c896c815f6001c887ec9bc45884629a220dd
mcp-apps/ask-facilitator/facilitator_mcp/__main__.py,6,0,,7f522d166c9e171592b4a6ef36ca445536583e31a61afe92d5942ebde86f156c
mcp-apps/ask-facilitator/facilitator_mcp/server.py,113,5,health:44; guide_endpoint:48; list_tools_endpoint:55; handle_facilitator_tool_rest:63; create_app:90,ba8d4e334c152c7f859bfb5430cbbc1c9192a6b80d43602a49ab7cd1868a6475
mcp-apps/ask-facilitator/facilitator_mcp/tools.py,601,11,query_user_history_from_dataverse:121; sync_dataverse_logs_to_memory:170; get_facilitator_guide:214; get_calendar_meetings:243; process_calendar_meeting_workflow:263; ingest_chat_to_knowledge_graph:338; generate_pre_meeting_briefing:378; export_meeting_to_loop_notebook:430; send_executive_email_via_graph:469; draft_meeting_summary_email:531; configure_auto_send_policy:570,f4fd8a09ce19cb2cbd9bdcf0b82752e80f4bb16346b2ae339b4656fcddfac672
mcp-apps/ask-facilitator/run_server.py,7,0,,e6e2c77f81a142fe04f2cfdfc04f1c42c0fe69439e2a26689fd279d287904acb
mcp-apps/ask-facilitator/test/test_app.py,174,14,TestFacilitatorServer:18; test_get_facilitator_guide:19; test_query_user_history_from_dataverse:26; test_query_user_history_isolation:39; test_sync_dataverse_logs_to_memory:46; test_get_calendar_meetings:52; test_process_calendar_meeting_workflow_post_meeting:60; test_process_calendar_meeting_workflow_pre_meeting:80; test_draft_meeting_summary_email:89; test_configure_auto_send_policy:103; test_ingest_chat_to_knowledge_graph:109; test_generate_pre_meeting_briefing:123; test_export_meeting_to_loop_notebook:136; test_send_executive_email_via_graph_simulation:149,84b876026b62e65b6506743a99af0765ec25ce09c6e89ed14636ccbe1ee7a162
mcp-apps/ask-productivity/productivity_mcp/__init__.py,2,0,,fef7e0a6dde5d9ba24e3d8d76951abbc46bf89c6bc2462ea80e2652f0024654c
mcp-apps/ask-productivity/productivity_mcp/audit_client.py,220,7,ProductivityAuditService:31; get_productivity_audit_service:219; __init__:34; audit_read_tool_execution:41; audit_stage_a_preview:91; start_stage_b_write_fail_closed:139; complete_stage_b_write:180,d37eada14dfd4484e49312d5c51f9e1b5458aa7759fdc1456b94600f7d9dfb77
