File,Lines,SHA256
/Users/vikrambala/copilotstudio/mcp-apps/ask-s4hana/s4hana_mcp/field_mappings.py,190,c550bcb32ef9bfcb1e7da4bcbc8e30937b0aeaf75325454a181136073e3f5bed
/Users/vikrambala/copilotstudio/mcp-apps/ask-s4hana/s4hana_mcp/server.py,481,343d867f628c6ff28657a4163dc3d515aa5c5215ff8fdf18a9a83fa17a6f4e3d
/Users/vikrambala/copilotstudio/mcp-apps/ask-s4hana/s4hana_mcp/adaptive_cards.py,168,8ed05c809e7d5dde51859acfdac6f44dda95c14b032dd12977a8a0657e0edbf1
/Users/vikrambala/copilotstudio/mcp-apps/ask-s4hana/s4hana_mcp/client.py,582,12922c3b9fb2990c2d393d4e054a037f26c9b6f5401ed5f256d849a0505f6237
/Users/vikrambala/copilotstudio/mcp-apps/ask-s4hana/s4hana_mcp/tools.py,583,a7c98179ddfdcf00ea5ec30aba0415115c3b1de1aae8c17d7be089cb8c486e1c
/Users/vikrambala/copilotstudio/mcp-apps/ask-s4hana/s4hana_mcp/cache.py,96,4fbc20900e2c10f53a77a33d654e13ecbd4b0e562fe1ab0ef753363a3ace0ca9
/Users/vikrambala/copilotstudio/mcp-apps/ask-s4hana/s4hana_mcp/__init__.py,1,ee7279a4fc27cd82a88155282f2c5a4477d580879260e24738a76e4bdb4bbc5f
/Users/vikrambala/copilotstudio/mcp-apps/ask-s4hana/s4hana_mcp/contracts.py,126,b5d0a45262964347967f66b38e9cc785289e1755ddb6e4f16e970a91e8ab8360
/Users/vikrambala/copilotstudio/mcp-apps/ask-s4hana/s4hana_mcp/settings.py,73,996757ae49125eefcbe4300d4681a36079f4d33c08600c8de8f1a4126a1c8b4e
/Users/vikrambala/copilotstudio/mcp-apps/ask-s4hana/s4hana_mcp/report_calculations.py,329,ae98fc6715396e3506e83360dde54296014955ac5a21d25b0d52525a8a5529ae
/Users/vikrambala/copilotstudio/mcp-apps/ask-s4hana/s4hana_mcp/__main__.py,4,69427e5b84bc4c9be4383eb20ce54875d09728ed84cb754e880c935e5a6fc35a
/Users/vikrambala/copilotstudio/mcp-apps/ask-productivity/productivity_mcp/server.py,939,6af17ee25da7b11a29114e017d0ed201d7018fe38794a6ea3acffa54ee151fd9
